region,DD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
06533_Limburg-Weilburg,-0.90817285,DD,year,days_with_precipitation_amount_below_threshold,days,7
06534_Marburg-Biedenkopf,-0.7084428,DD,year,days_with_precipitation_amount_below_threshold,days,7
06535_Vogelsbergkreis,-0.6708719,DD,year,days_with_precipitation_amount_below_threshold,days,7
06611_Kassel,-2.1799607,DD,year,days_with_precipitation_amount_below_threshold,days,7
06631_Fulda,-1.0774568,DD,year,days_with_precipitation_amount_below_threshold,days,7
06632_Hersfeld-Rotenburg,-1.9574097,DD,year,days_with_precipitation_amount_below_threshold,days,7
06633_Kassel,-2.0988529,DD,year,days_with_precipitation_amount_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-1.7097379,DD,year,days_with_precipitation_amount_below_threshold,days,7
06635_Waldeck-Frankenberg,-1.0502807,DD,year,days_with_precipitation_amount_below_threshold,days,7
06636_Werra-Meißner-Kreis,-1.9644008,DD,year,days_with_precipitation_amount_below_threshold,days,7
07111_Koblenz,-1.4707679,DD,year,days_with_precipitation_amount_below_threshold,days,7
07131_Ahrweiler,-0.287803,DD,year,days_with_precipitation_amount_below_threshold,days,7
07132_Altenkirchen (Westerwald),-0.2094242,DD,year,days_with_precipitation_amount_below_threshold,days,7
07133_Bad Kreuznach,-1.0681993,DD,year,days_with_precipitation_amount_below_threshold,days,7
07134_Birkenfeld,0.7349053,DD,year,days_with_precipitation_amount_below_threshold,days,7
07135_Cochem-Zell,-0.1033344,DD,year,days_with_precipitation_amount_below_threshold,days,7
07137_Mayen-Koblenz,-0.79248476,DD,year,days_with_precipitation_amount_below_threshold,days,7
07138_Neuwied,-0.47777838,DD,year,days_with_precipitation_amount_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-0.041283056,DD,year,days_with_precipitation_amount_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-0.6732745,DD,year,days_with_precipitation_amount_below_threshold,days,7
07143_Westerwaldkreis,0.13136372,DD,year,days_with_precipitation_amount_below_threshold,days,7
07211_Trier,0.93454945,DD,year,days_with_precipitation_amount_below_threshold,days,7
07231_Bernkastel-Wittlich,0.6715896,DD,year,days_with_precipitation_amount_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,1.5494556,DD,year,days_with_precipitation_amount_below_threshold,days,7
07233_Vulkaneifel,1.1671003,DD,year,days_with_precipitation_amount_below_threshold,days,7
07235_Trier-Saarburg,1.3649268,DD,year,days_with_precipitation_amount_below_threshold,days,7
07311_Frankenthal (Pfalz),-2.162826,DD,year,days_with_precipitation_amount_below_threshold,days,7
07312_Kaiserslautern,-0.03012674,DD,year,days_with_precipitation_amount_below_threshold,days,7
07313_Landau in der Pfalz,-0.56471866,DD,year,days_with_precipitation_amount_below_threshold,days,7
07314_Ludwigshafen am Rhein,-2.0281346,DD,year,days_with_precipitation_amount_below_threshold,days,7
07315_Mainz,-1.5214096,DD,year,days_with_precipitation_amount_below_threshold,days,7
07316_Neustadt an der Weinstraße,-1.182883,DD,year,days_with_precipitation_amount_below_threshold,days,7
07317_Pirmasens,0.43452856,DD,year,days_with_precipitation_amount_below_threshold,days,7
07318_Speyer,-1.8020301,DD,year,days_with_precipitation_amount_below_threshold,days,7
07319_Worms,-2.010325,DD,year,days_with_precipitation_amount_below_threshold,days,7
07320_Zweibrücken,0.7182502,DD,year,days_with_precipitation_amount_below_threshold,days,7
07331_Alzey-Worms,-1.737,DD,year,days_with_precipitation_amount_below_threshold,days,7
07332_Bad Dürkheim,-1.0361631,DD,year,days_with_precipitation_amount_below_threshold,days,7
07333_Donnersbergkreis,-0.90993756,DD,year,days_with_precipitation_amount_below_threshold,days,7
07334_Germersheim,-1.4528878,DD,year,days_with_precipitation_amount_below_threshold,days,7
07335_Kaiserslautern,0.023187201,DD,year,days_with_precipitation_amount_below_threshold,days,7
07336_Kusel,-0.03263962,DD,year,days_with_precipitation_amount_below_threshold,days,7
07337_Südliche Weinstraße,-0.6058888,DD,year,days_with_precipitation_amount_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-1.927922,DD,year,days_with_precipitation_amount_below_threshold,days,7
07339_Mainz-Bingen,-1.5969969,DD,year,days_with_precipitation_amount_below_threshold,days,7
07340_Südwestpfalz,0.373427,DD,year,days_with_precipitation_amount_below_threshold,days,7
08111_Stuttgart,-1.6157377,DD,year,days_with_precipitation_amount_below_threshold,days,7
08115_Böblingen,-1.4929073,DD,year,days_with_precipitation_amount_below_threshold,days,7
08116_Esslingen,-1.7575536,DD,year,days_with_precipitation_amount_below_threshold,days,7
08117_Göppingen,-1.3921889,DD,year,days_with_precipitation_amount_below_threshold,days,7
08118_Ludwigsburg,-1.5036722,DD,year,days_with_precipitation_amount_below_threshold,days,7
08119_Rems-Murr-Kreis,-0.99619764,DD,year,days_with_precipitation_amount_below_threshold,days,7
08121_Heilbronn,-1.3606712,DD,year,days_with_precipitation_amount_below_threshold,days,7
08125_Heilbronn,-1.1672746,DD,year,days_with_precipitation_amount_below_threshold,days,7
08126_Hohenlohekreis,-1.049813,DD,year,days_with_precipitation_amount_below_threshold,days,7
08127_Schwäbisch Hall,-1.006655,DD,year,days_with_precipitation_amount_below_threshold,days,7
08128_Main-Tauber-Kreis,-1.5003413,DD,year,days_with_precipitation_amount_below_threshold,days,7
08135_Heidenheim,-1.5901264,DD,year,days_with_precipitation_amount_below_threshold,days,7
08136_Ostalbkreis,-1.1687485,DD,year,days_with_precipitation_amount_below_threshold,days,7
08211_Baden-Baden,0.3906914,DD,year,days_with_precipitation_amount_below_threshold,days,7
08212_Karlsruhe,-1.1800331,DD,year,days_with_precipitation_amount_below_threshold,days,7
08215_Karlsruhe,-1.186494,DD,year,days_with_precipitation_amount_below_threshold,days,7
08216_Rastatt,0.0953776,DD,year,days_with_precipitation_amount_below_threshold,days,7
08221_Heidelberg,-0.8881793,DD,year,days_with_precipitation_amount_below_threshold,days,7
08222_Mannheim,-1.8860383,DD,year,days_with_precipitation_amount_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-0.7816507,DD,year,days_with_precipitation_amount_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-0.9225665,DD,year,days_with_precipitation_amount_below_threshold,days,7
08231_Pforzheim,-0.87269753,DD,year,days_with_precipitation_amount_below_threshold,days,7
08235_Calw,-0.11360891,DD,year,days_with_precipitation_amount_below_threshold,days,7
08236_Enzkreis,-0.95895976,DD,year,days_with_precipitation_amount_below_threshold,days,7
08237_Freudenstadt,0.36955476,DD,year,days_with_precipitation_amount_below_threshold,days,7
08311_Freiburg im Breisgau,-0.28530082,DD,year,days_with_precipitation_amount_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,0.42307281,DD,year,days_with_precipitation_amount_below_threshold,days,7
08316_Emmendingen,-0.052878395,DD,year,days_with_precipitation_amount_below_threshold,days,7
08317_Ortenaukreis,-0.14611335,DD,year,days_with_precipitation_amount_below_threshold,days,7
08325_Rottweil,-0.48006612,DD,year,days_with_precipitation_amount_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-0.21745059,DD,year,days_with_precipitation_amount_below_threshold,days,7
08327_Tuttlingen,-0.8649437,DD,year,days_with_precipitation_amount_below_threshold,days,7
08335_Konstanz,-1.8228502,DD,year,days_with_precipitation_amount_below_threshold,days,7
08336_Lörrach,0.7513701,DD,year,days_with_precipitation_amount_below_threshold,days,7
08337_Waldshut,-0.076392725,DD,year,days_with_precipitation_amount_below_threshold,days,7
08415_Reutlingen,-1.0885853,DD,year,days_with_precipitation_amount_below_threshold,days,7
08416_Tübingen,-1.8775972,DD,year,days_with_precipitation_amount_below_threshold,days,7
08417_Zollernalbkreis,-0.7549088,DD,year,days_with_precipitation_amount_below_threshold,days,7
08421_Ulm,-2.518901,DD,year,days_with_precipitation_amount_below_threshold,days,7
08425_Alb-Donau-Kreis,-1.9497616,DD,year,days_with_precipitation_amount_below_threshold,days,7
08426_Biberach,-1.9083276,DD,year,days_with_precipitation_amount_below_threshold,days,7
08435_Bodenseekreis,-1.8337566,DD,year,days_with_precipitation_amount_below_threshold,days,7
08436_Ravensburg,-1.1468527,DD,year,days_with_precipitation_amount_below_threshold,days,7
08437_Sigmaringen,-1.309574,DD,year,days_with_precipitation_amount_below_threshold,days,7
09161_Ingolstadt,-2.8515906,DD,year,days_with_precipitation_amount_below_threshold,days,7
09162_München,-2.4233232,DD,year,days_with_precipitation_amount_below_threshold,days,7
09163_Rosenheim,-2.8781075,DD,year,days_with_precipitation_amount_below_threshold,days,7
09171_Altötting,-2.3059042,DD,year,days_with_precipitation_amount_below_threshold,days,7
09172_Berchtesgadener Land,-1.8760997,DD,year,days_with_precipitation_amount_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-1.74986,DD,year,days_with_precipitation_amount_below_threshold,days,7
09174_Dachau,-2.3629718,DD,year,days_with_precipitation_amount_below_threshold,days,7
09175_Ebersberg,-2.0891743,DD,year,days_with_precipitation_amount_below_threshold,days,7
09176_Eichstätt,-2.3703468,DD,year,days_with_precipitation_amount_below_threshold,days,7
09177_Erding,-2.3604693,DD,year,days_with_precipitation_amount_below_threshold,days,7
09178_Freising,-2.596791,DD,year,days_with_precipitation_amount_below_threshold,days,7
09179_Fürstenfeldbruck,-2.19653,DD,year,days_with_precipitation_amount_below_threshold,days,7
09180_Garmisch-Partenkirchen,-1.8940772,DD,year,days_with_precipitation_amount_below_threshold,days,7
09181_Landsberg am Lech,-1.833342,DD,year,days_with_precipitation_amount_below_threshold,days,7
09182_Miesbach,-1.429326,DD,year,days_with_precipitation_amount_below_threshold,days,7
09183_Mühldorf a. Inn,-2.1896105,DD,year,days_with_precipitation_amount_below_threshold,days,7
09184_München,-1.9725144,DD,year,days_with_precipitation_amount_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-2.5978913,DD,year,days_with_precipitation_amount_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-2.6220336,DD,year,days_with_precipitation_amount_below_threshold,days,7
09187_Rosenheim,-2.0565054,DD,year,days_with_precipitation_amount_below_threshold,days,7
09188_Starnberg,-2.2423394,DD,year,days_with_precipitation_amount_below_threshold,days,7
09189_Traunstein,-1.7129824,DD,year,days_with_precipitation_amount_below_threshold,days,7
09190_Weilheim-Schongau,-1.9633733,DD,year,days_with_precipitation_amount_below_threshold,days,7
09261_Landshut,-2.5862114,DD,year,days_with_precipitation_amount_below_threshold,days,7
09262_Passau,-2.2575119,DD,year,days_with_precipitation_amount_below_threshold,days,7
09263_Straubing,-2.6966658,DD,year,days_with_precipitation_amount_below_threshold,days,7
09271_Deggendorf,-2.2972298,DD,year,days_with_precipitation_amount_below_threshold,days,7
09272_Freyung-Grafenau,-1.8240359,DD,year,days_with_precipitation_amount_below_threshold,days,7
09273_Kelheim,-2.6112525,DD,year,days_with_precipitation_amount_below_threshold,days,7
09274_Landshut,-2.5259812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09275_Passau,-2.2243938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09276_Regen,-1.4421331,DD,year,days_with_precipitation_amount_below_threshold,days,7
09277_Rottal-Inn,-2.3519654,DD,year,days_with_precipitation_amount_below_threshold,days,7
09278_Straubing-Bogen,-2.434993,DD,year,days_with_precipitation_amount_below_threshold,days,7
09279_Dingolfing-Landau,-2.7118273,DD,year,days_with_precipitation_amount_below_threshold,days,7
09361_Amberg,-2.04733,DD,year,days_with_precipitation_amount_below_threshold,days,7
09362_Regensburg,-2.9636295,DD,year,days_with_precipitation_amount_below_threshold,days,7
09363_Weiden i.d. OPf.,-2.2583523,DD,year,days_with_precipitation_amount_below_threshold,days,7
09371_Amberg-Sulzbach,-1.933249,DD,year,days_with_precipitation_amount_below_threshold,days,7
09372_Cham,-1.771877,DD,year,days_with_precipitation_amount_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-1.7789932,DD,year,days_with_precipitation_amount_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-1.8590064,DD,year,days_with_precipitation_amount_below_threshold,days,7
09375_Regensburg,-2.6253595,DD,year,days_with_precipitation_amount_below_threshold,days,7
09376_Schwandorf,-2.2316537,DD,year,days_with_precipitation_amount_below_threshold,days,7
09377_Tirschenreuth,-1.5949873,DD,year,days_with_precipitation_amount_below_threshold,days,7
09461_Bamberg,-2.2088761,DD,year,days_with_precipitation_amount_below_threshold,days,7
09462_Bayreuth,-2.045077,DD,year,days_with_precipitation_amount_below_threshold,days,7
09463_Coburg,-1.7433517,DD,year,days_with_precipitation_amount_below_threshold,days,7
09464_Hof,-2.2956154,DD,year,days_with_precipitation_amount_below_threshold,days,7
09471_Bamberg,-1.8064214,DD,year,days_with_precipitation_amount_below_threshold,days,7
09472_Bayreuth,-1.5850134,DD,year,days_with_precipitation_amount_below_threshold,days,7
09473_Coburg,-1.6720057,DD,year,days_with_precipitation_amount_below_threshold,days,7
09474_Forchheim,-1.8147101,DD,year,days_with_precipitation_amount_below_threshold,days,7
09475_Hof,-1.509612,DD,year,days_with_precipitation_amount_below_threshold,days,7
09476_Kronach,-1.0826392,DD,year,days_with_precipitation_amount_below_threshold,days,7
09477_Kulmbach,-1.6400497,DD,year,days_with_precipitation_amount_below_threshold,days,7
09478_Lichtenfels,-1.6611264,DD,year,days_with_precipitation_amount_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-1.7139523,DD,year,days_with_precipitation_amount_below_threshold,days,7
09561_Ansbach,-1.9197567,DD,year,days_with_precipitation_amount_below_threshold,days,7
09562_Erlangen,-2.5288057,DD,year,days_with_precipitation_amount_below_threshold,days,7
09563_Fürth,-2.494038,DD,year,days_with_precipitation_amount_below_threshold,days,7
09564_Nürnberg,-2.5722098,DD,year,days_with_precipitation_amount_below_threshold,days,7
09565_Schwabach,-2.5600016,DD,year,days_with_precipitation_amount_below_threshold,days,7
09571_Ansbach,-1.8523875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09572_Erlangen-Höchstadt,-2.2624657,DD,year,days_with_precipitation_amount_below_threshold,days,7
09573_Fürth,-2.3777492,DD,year,days_with_precipitation_amount_below_threshold,days,7
09574_Nürnberger Land,-1.69272,DD,year,days_with_precipitation_amount_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-1.9674025,DD,year,days_with_precipitation_amount_below_threshold,days,7
09576_Roth,-2.3058739,DD,year,days_with_precipitation_amount_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-2.0410562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09661_Aschaffenburg,-1.5313996,DD,year,days_with_precipitation_amount_below_threshold,days,7
09662_Schweinfurt,-1.6681613,DD,year,days_with_precipitation_amount_below_threshold,days,7
09663_Würzburg,-1.8630294,DD,year,days_with_precipitation_amount_below_threshold,days,7
09671_Aschaffenburg,-0.8544116,DD,year,days_with_precipitation_amount_below_threshold,days,7
09672_Bad Kissingen,-0.9730463,DD,year,days_with_precipitation_amount_below_threshold,days,7
09673_Rhön-Grabfeld,-1.2575469,DD,year,days_with_precipitation_amount_below_threshold,days,7
09674_Haßberge,-1.655149,DD,year,days_with_precipitation_amount_below_threshold,days,7
09675_Kitzingen,-2.010844,DD,year,days_with_precipitation_amount_below_threshold,days,7
09676_Miltenberg,-0.9454908,DD,year,days_with_precipitation_amount_below_threshold,days,7
09677_Main-Spessart,-0.9615098,DD,year,days_with_precipitation_amount_below_threshold,days,7
09678_Schweinfurt,-1.7623272,DD,year,days_with_precipitation_amount_below_threshold,days,7
09679_Würzburg,-1.7625676,DD,year,days_with_precipitation_amount_below_threshold,days,7
09761_Augsburg,-2.4695992,DD,year,days_with_precipitation_amount_below_threshold,days,7
09762_Kaufbeuren,-1.5662922,DD,year,days_with_precipitation_amount_below_threshold,days,7
09763_Kempten (Allgäu),-1.2372063,DD,year,days_with_precipitation_amount_below_threshold,days,7
09764_Memmingen,-1.3601964,DD,year,days_with_precipitation_amount_below_threshold,days,7
