region,LFD_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
03254_Hildesheim,-7.978989601135254,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-7.992589950561523,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-8.717836380004883,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-8.300605773925781,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-8.001152038574219,LFD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-8.509162902832031,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-7.965301513671875,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-8.813623428344727,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-8.627817153930664,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-8.397113800048828,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-8.635621070861816,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-8.736503601074219,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-8.602583885192871,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-8.79845142364502,LFD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-8.476500511169434,LFD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-8.578824996948242,LFD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-8.81209945678711,LFD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-6.667635440826416,LFD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-9.110039710998535,LFD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-7.536585807800293,LFD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-6.023167133331299,LFD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-9.147140502929688,LFD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-7.627713203430176,LFD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-8.344213485717773,LFD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-7.746644020080566,LFD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-8.098559379577637,LFD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-7.382749080657959,LFD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-8.235438346862793,LFD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-8.704625129699707,LFD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-7.541596412658691,LFD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-7.965142250061035,LFD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-8.450681686401367,LFD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-7.771429538726807,LFD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-7.407666206359863,LFD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-8.688277244567871,LFD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-4.460821151733398,LFD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-4.218355178833008,LFD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-4.694953918457031,LFD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-5.145240783691406,LFD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-5.969033241271973,LFD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-5.1068925857543945,LFD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-4.362272262573242,LFD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-6.573287010192871,LFD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-5.497759819030762,LFD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-5.875475883483887,LFD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-6.602256774902344,LFD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-4.865159034729004,LFD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-4.777952671051025,LFD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-5.821398735046387,LFD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-6.131818771362305,LFD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-5.100823402404785,LFD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-4.37136173248291,LFD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-4.666860103607178,LFD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-5.9721879959106445,LFD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-5.497714996337891,LFD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-4.72032356262207,LFD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-6.596872329711914,LFD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-5.731069564819336,LFD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-6.811052322387695,LFD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-5.594233512878418,LFD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-5.450674057006836,LFD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-4.762376308441162,LFD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-4.636503219604492,LFD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-6.901924133300781,LFD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-6.632460594177246,LFD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-6.501192092895508,LFD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-5.249178886413574,LFD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-7.382865905761719,LFD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-7.2081499099731445,LFD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-6.282663345336914,LFD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-7.489324569702148,LFD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-7.518734931945801,LFD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-8.973297119140625,LFD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-7.595148086547852,LFD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-7.852203369140625,LFD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-7.211030960083008,LFD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-4.869114398956299,LFD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-5.203179836273193,LFD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-6.2991533279418945,LFD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-6.322967529296875,LFD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-4.535287380218506,LFD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-5.829082489013672,LFD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-7.794349670410156,LFD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-7.041677474975586,LFD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-7.89100456237793,LFD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-7.711841583251953,LFD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-6.245523452758789,LFD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-5.283130645751953,LFD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-5.540660858154297,LFD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-5.921394348144531,LFD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-5.507143020629883,LFD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-5.999550819396973,LFD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-5.525246620178223,LFD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-5.3638763427734375,LFD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-5.827780723571777,LFD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-6.603370666503906,LFD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-7.129909515380859,LFD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-6.260440826416016,LFD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-6.209519386291504,LFD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-5.504886627197266,LFD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-6.303016662597656,LFD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-6.680512428283691,LFD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-6.966548919677734,LFD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-7.135753631591797,LFD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-6.571620941162109,LFD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-8.04277229309082,LFD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-7.546696662902832,LFD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-8.591812133789062,LFD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-7.954999923706055,LFD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-7.799385070800781,LFD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-8.861780166625977,LFD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-8.05314826965332,LFD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-8.327299118041992,LFD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-8.58336067199707,LFD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-6.499972343444824,LFD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-6.405967712402344,LFD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-6.60716438293457,LFD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-6.59515380859375,LFD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-6.738885879516602,LFD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-6.3453521728515625,LFD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-6.093837738037109,LFD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-5.807574272155762,LFD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-6.566775321960449,LFD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-6.4600830078125,LFD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-6.817195892333984,LFD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-6.258611679077148,LFD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-6.276052474975586,LFD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-7.199806213378906,LFD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-7.270166397094727,LFD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-6.2921857833862305,LFD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-5.120325088500977,LFD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-5.885858535766602,LFD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-5.474489212036133,LFD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-5.023402690887451,LFD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-6.19033145904541,LFD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-5.174285888671875,LFD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-6.129412651062012,LFD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-4.790173530578613,LFD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-5.303391456604004,LFD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-6.334768295288086,LFD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-5.67879581451416,LFD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-5.182721138000488,LFD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-5.918989181518555,LFD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-4.834356784820557,LFD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-6.137449264526367,LFD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-6.704094886779785,LFD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-5.320562362670898,LFD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-4.9381537437438965,LFD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-6.035386085510254,LFD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-5.818952560424805,LFD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-6.827304840087891,LFD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-7.662935256958008,LFD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-7.876837730407715,LFD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-8.463761329650879,LFD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-6.241001129150391,LFD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-7.606881141662598,LFD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-6.318365097045898,LFD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-6.42165470123291,LFD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-7.124204635620117,LFD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-8.182530403137207,LFD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-6.916965484619141,LFD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-9.10258960723877,LFD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-8.707243919372559,LFD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-5.704962730407715,LFD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-4.829748630523682,LFD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-4.839555263519287,LFD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-6.011445045471191,LFD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-5.671351432800293,LFD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-4.965898036956787,LFD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-6.647377014160156,LFD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-5.607710838317871,LFD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-5.930049896240234,LFD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-7.286347389221191,LFD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-5.709593772888184,LFD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-9.207292556762695,LFD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-7.6012678146362305,LFD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-9.969497680664062,LFD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-7.877392768859863,LFD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-7.13435173034668,LFD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-9.312524795532227,LFD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-10.405376434326172,LFD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-10.283361434936523,LFD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-10.409157752990723,LFD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-10.4412841796875,LFD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-10.57659912109375,LFD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-9.434652328491211,LFD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-8.570080757141113,LFD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-9.334020614624023,LFD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-9.50919246673584,LFD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-9.666818618774414,LFD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-10.43814468383789,LFD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-12.096407890319824,LFD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-11.424592971801758,LFD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-10.044496536254883,LFD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-10.023855209350586,LFD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-9.27242660522461,LFD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-11.43284797668457,LFD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-9.655604362487793,LFD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-11.402099609375,LFD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-11.980522155761719,LFD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-10.021528244018555,LFD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-10.12602424621582,LFD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-9.482263565063477,LFD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-9.681303024291992,LFD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-10.092023849487305,LFD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-9.553299903869629,LFD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-12.972814559936523,LFD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-10.590995788574219,LFD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-11.886892318725586,LFD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-9.571001052856445,LFD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-10.004597663879395,LFD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-10.023406028747559,LFD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-9.990569114685059,LFD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-11.557737350463867,LFD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-10.921783447265625,LFD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-11.237920761108398,LFD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-12.218667984008789,LFD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-10.020066261291504,LFD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-9.031649589538574,LFD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-10.002969741821289,LFD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-9.78925609588623,LFD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-10.248315811157227,LFD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-9.899195671081543,LFD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-9.773933410644531,LFD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-9.20181941986084,LFD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-11.32529067993164,LFD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-8.851618766784668,LFD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-10.3091459274292,LFD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-9.364930152893066,LFD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-8.678792953491211,LFD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-10.201926231384277,LFD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-8.836732864379883,LFD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-8.560155868530273,LFD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-10.434255599975586,LFD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-8.868820190429688,LFD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-8.815547943115234,LFD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-9.998778343200684,LFD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-9.170680046081543,LFD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-8.886035919189453,LFD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-8.765070915222168,LFD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-8.675651550292969,LFD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-8.189483642578125,LFD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-7.904270172119141,LFD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-8.760396957397461,LFD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-8.903953552246094,LFD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-8.451559066772461,LFD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-8.731989860534668,LFD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-8.33267593383789,LFD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-8.46142578125,LFD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-9.007087707519531,LFD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-8.75401782989502,LFD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-9.073097229003906,LFD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-7.7180280685424805,LFD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-7.721362113952637,LFD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-7.716243743896484,LFD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-7.7453718185424805,LFD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-7.868934631347656,LFD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-8.009485244750977,LFD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-8.26440715789795,LFD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-7.7278242111206055,LFD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-8.438742637634277,LFD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-7.648794174194336,LFD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-8.21828842163086,LFD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-8.790711402893066,LFD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-5.620295524597168,LFD,year,days_with_air_temperature_below_threshold,days,7
09662_Schweinfurt,-8.18752384185791,LFD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-7.696952819824219,LFD,year,days_with_air_temperature_below_threshold,days,7
09671_Aschaffenburg,-6.335487365722656,LFD,year,days_with_air_temperature_below_threshold,days,7
09672_Bad Kissingen,-7.991774559020996,LFD,year,days_with_air_temperature_below_threshold,days,7
09673_Rhön-Grabfeld,-8.222793579101562,LFD,year,days_with_air_temperature_below_threshold,days,7
09674_Haßberge,-8.726375579833984,LFD,year,days_with_air_temperature_below_threshold,days,7
09675_Kitzingen,-7.427852630615234,LFD,year,days_with_air_temperature_below_threshold,days,7
