realization,region,RRm_sem_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_sem_RRm,01055_Ostholstein,2.0981977,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,01055_Ostholstein,1.8841863,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,01056_Pinneberg,1.9952359,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,01056_Pinneberg,1.6969056,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,01056_Pinneberg,2.380513,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,01056_Pinneberg,2.2839572,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,01057_Plön,1.949236,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,01057_Plön,1.5928562,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,01057_Plön,2.2486293,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,01057_Plön,2.1717534,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,01058_Rendsburg-Eckernförde,2.1652122,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,01058_Rendsburg-Eckernförde,1.6854056,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,01058_Rendsburg-Eckernförde,2.3930066,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,01058_Rendsburg-Eckernförde,2.5768924,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,01059_Schleswig-Flensburg,2.1307213,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,01059_Schleswig-Flensburg,1.6425668,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,01059_Schleswig-Flensburg,2.2869754,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,01059_Schleswig-Flensburg,2.7172706,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,01060_Segeberg,2.198757,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,01060_Segeberg,1.7210827,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,01060_Segeberg,2.3920684,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,01060_Segeberg,2.3689775,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,01061_Steinburg,2.1635592,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,01061_Steinburg,1.7352806,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,01061_Steinburg,2.4988039,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,01061_Steinburg,2.613587,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,01062_Stormarn,2.063721,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,01062_Stormarn,1.6873431,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,01062_Stormarn,2.3244145,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,01062_Stormarn,2.1547995,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,02000_Hamburg,1.952474,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,02000_Hamburg,1.6869144,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,02000_Hamburg,2.28862,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,02000_Hamburg,2.0784833,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.5883613,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.5464512,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,2.0337832,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.5491263,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03101_Braunschweig,1.4746565,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03101_Braunschweig,1.5216641,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03101_Braunschweig,1.9895356,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03101_Braunschweig,1.5064976,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.9785123,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.8835907,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,2.3020208,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.9169271,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03102_Salzgitter,1.5556872,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03102_Salzgitter,1.6406386,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03102_Salzgitter,2.1040251,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03102_Salzgitter,1.5921999,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03103_03154_03151_Region_um_Wolfsburg,1.6434705,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03103_03154_03151_Region_um_Wolfsburg,1.516525,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03103_03154_03151_Region_um_Wolfsburg,2.01263,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03103_03154_03151_Region_um_Wolfsburg,1.5528141,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03103_Wolfsburg,1.5679076,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03103_Wolfsburg,1.4676028,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03103_Wolfsburg,1.9384955,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03103_Wolfsburg,1.4673749,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03151_Gifhorn,1.7114743,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03151_Gifhorn,1.5308511,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03151_Gifhorn,2.0543466,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03151_Gifhorn,1.6115758,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03153_Goslar,2.9288473,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03153_Goslar,2.5010996,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03153_Goslar,2.8226404,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03153_Goslar,2.6798482,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03154_Helmstedt,1.5081108,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03154_Helmstedt,1.4982121,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03154_Helmstedt,1.9381825,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03154_Helmstedt,1.4420779,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03155_Northeim,2.1964192,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03155_Northeim,1.8974217,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03155_Northeim,2.2748742,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03155_Northeim,2.0815046,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03157_Peine,1.5504588,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03157_Peine,1.5586926,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03157_Peine,2.0751436,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03157_Peine,1.5956726,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03158_Wolfenbüttel,1.471833,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03158_Wolfenbüttel,1.6155559,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03158_Wolfenbüttel,2.065051,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03158_Wolfenbüttel,1.5012076,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03159_Göttingen,2.3121195,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03159_Göttingen,2.027825,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03159_Göttingen,2.4561315,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03159_Göttingen,2.219466,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03241_Region Hannover,1.7033933,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03241_Region Hannover,1.6290028,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03241_Region Hannover,2.1121342,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03241_Region Hannover,1.6987203,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03251_Diepholz,1.806884,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03251_Diepholz,1.5741315,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03251_Diepholz,2.1279566,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03251_Diepholz,1.8628162,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03252_Hameln-Pyrmont,2.3226843,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03252_Hameln-Pyrmont,2.006775,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03252_Hameln-Pyrmont,2.4094734,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03252_Hameln-Pyrmont,2.178937,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03254_Hildesheim,1.8746829,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03254_Hildesheim,1.7993675,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03254_Hildesheim,2.2169998,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03254_Hildesheim,1.8274091,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03255_Holzminden,2.4530258,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03255_Holzminden,2.0911992,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03255_Holzminden,2.4432921,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03255_Holzminden,2.2987533,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03256_Nienburg (Weser),1.7502258,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03256_Nienburg (Weser),1.5932907,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03256_Nienburg (Weser),2.1594148,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03256_Nienburg (Weser),1.7877296,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03257_Schaumburg,1.9451662,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03257_Schaumburg,1.8152815,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03257_Schaumburg,2.2916253,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03257_Schaumburg,1.9583629,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03351_Celle,1.9814452,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03351_Celle,1.6429654,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03351_Celle,2.1660569,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03351_Celle,1.8398204,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03352_Cuxhaven,1.9791116,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03352_Cuxhaven,1.6849233,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03352_Cuxhaven,2.4145522,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03352_Cuxhaven,2.4660552,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03353_Harburg,1.9689966,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03353_Harburg,1.6848372,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03353_Harburg,2.2114034,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03353_Harburg,2.0373063,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03354_Lüchow-Dannenberg,1.4886161,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03354_Lüchow-Dannenberg,1.3880749,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03354_Lüchow-Dannenberg,1.908955,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03354_Lüchow-Dannenberg,1.4468304,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03355_Lüneburg,1.737331,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03355_Lüneburg,1.57078,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03355_Lüneburg,2.0739372,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03355_Lüneburg,1.7075163,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03356_Osterholz,1.9309459,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03356_Osterholz,1.7139435,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03356_Osterholz,2.2814593,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03356_Osterholz,2.1088338,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03357_Rotenburg (Wümme),2.0034552,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03357_Rotenburg (Wümme),1.742649,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03357_Rotenburg (Wümme),2.3314154,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03357_Rotenburg (Wümme),2.1371915,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03358_Heidekreis,2.095284,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03358_Heidekreis,1.7261783,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03358_Heidekreis,2.2607417,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03358_Heidekreis,1.9935246,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03359_Stade,1.9795644,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03359_Stade,1.7055328,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03359_Stade,2.3323295,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03359_Stade,2.293324,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03360_Uelzen,1.7673594,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03360_Uelzen,1.5430825,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03360_Uelzen,2.0768964,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03360_Uelzen,1.700297,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03361_Verden,1.8473681,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03361_Verden,1.6545312,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03361_Verden,2.221164,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03361_Verden,1.8769974,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.8392353,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.620325,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03401_03458_04011_03251_03461_Region_um_Delmenhorst,2.1989548,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.9786879,RRm,sem,precipitation,mm day-1,10
nan_GERICS_nan_nan_nan_nan_sem_RRm,03401_Delmenhorst,1.793806,RRm,sem,precipitation,mm day-1,1
nan_GERICS_nan_nan_nan_nan_sem_RRm,03401_Delmenhorst,1.5997602,RRm,sem,precipitation,mm day-1,4
nan_GERICS_nan_nan_nan_nan_sem_RRm,03401_Delmenhorst,2.2309432,RRm,sem,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_sem_RRm,03401_Delmenhorst,1.9868152,RRm,sem,precipitation,mm day-1,10
