realization,region,FD_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_FD,03158_Wolfenbüttel,72.732475,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03159_Göttingen,86.83467,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03241_Region Hannover,69.03642,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03251_Diepholz,67.148636,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03252_Hameln-Pyrmont,67.97252,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03254_Hildesheim,70.74549,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03255_Holzminden,77.4346,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03256_Nienburg (Weser),65.524796,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03257_Schaumburg,64.260796,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03351_Celle,80.64536,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03352_Cuxhaven,59.815407,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03353_Harburg,75.1351,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03354_Lüchow-Dannenberg,80.65409,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03355_Lüneburg,75.79292,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03356_Osterholz,69.32529,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03357_Rotenburg (Wümme),73.900345,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03358_Heidekreis,77.73251,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03359_Stade,71.20523,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03360_Uelzen,81.57883,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03361_Verden,70.62662,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03401_03458_04011_03251_03461_Region_um_Delmenhorst,65.591675,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03401_Delmenhorst,66.92272,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03402_03452_03457_Region_um_Emden,58.88371,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03402_Emden,50.988712,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),63.81912,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03403_Oldenburg (Oldb),66.667496,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03404_03459_05566_Region_um_Osnabrück,60.25248,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03404_Osnabrück,59.43127,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03405_03455_Region_um_Wilhelmshaven,59.473946,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03405_Wilhelmshaven,56.812725,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03451_Ammerland,64.3704,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03452_Aurich,56.591446,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03453_Cloppenburg,63.25843,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03454_Emsland,59.449398,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03455_Friesland,59.809685,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03456_Grafschaft Bentheim,59.790604,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03457_Leer,62.43323,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03458_Oldenburg,66.85178,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03459_Osnabrück,62.49045,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03460_Vechta,65.392845,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03461_Wesermarsch,58.87383,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03462_Wittmund,59.021275,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,64.46553,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,04011_Bremen,67.79979,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,04012_03352_03461_Region_um_Bremerhaven,59.323967,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,04012_Bremerhaven,50.546955,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05111_05162_05158_05112_Region_um_Düsseldorf,46.207592,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05111_Düsseldorf,45.91681,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,45.715984,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05112_Duisburg,40.435986,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,51.669624,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05113_Essen,47.11694,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05114_05112_05162_05166_05170_Region_um_Krefeld,46.559593,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05114_Krefeld,43.669975,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05116_05370_05166_05162_Region_um_Mönchengladbach,50.093563,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05116_Mönchengladbach,50.631325,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,45.700073,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05117_Mülheim an der Ruhr,43.674496,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,45.232685,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05119_Oberhausen,42.66796,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05120_05124_05122_05378_05374_Region_um_Remscheid,70.36949,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05120_Remscheid,66.83848,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05122_05158_05124_05378_05120_Region_um_Solingen,57.97077,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05122_Solingen,55.808277,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,65.55126,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05124_Wuppertal,62.690197,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05154_Kleve,51.825943,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05158_Mettmann,49.024395,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05162_Rhein-Kreis Neuss,46.670948,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05166_Viersen,50.315662,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05170_Wesel,46.23098,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05314_05382_Region_um_Bonn,61.394917,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05314_Bonn,53.478954,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05315_Köln,44.983402,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05316_05315_05378_05158_Region_um_Leverkusen,52.285847,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05316_Leverkusen,43.575848,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05334_Städteregion Aachen,64.20115,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05358_Düren,59.15864,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05362_Rhein-Erft-Kreis,49.685444,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05366_Euskirchen,78.60441,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05370_Heinsberg,52.86008,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05374_Oberbergischer Kreis,76.902466,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05378_Rheinisch-Bergischer Kreis,63.31677,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05382_Rhein-Sieg-Kreis,62.386665,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05512_05119_05513_05113_05170_05562_Region_um_Bottrop,48.716076,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05512_Bottrop,45.60028,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,51.16479,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05513_Gelsenkirchen,49.241264,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05515_05566_05558_05570_Region_um_Münster,58.648777,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05515_Münster,56.721664,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05554_Borken,57.110996,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05558_Coesfeld,59.241455,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05562_Recklinghausen,53.525326,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05566_Steinfurt,57.67723,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05570_Warendorf,59.91856,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05711_05754_05758_05766_Region_um_Bielefeld,63.750877,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05711_Bielefeld,62.137497,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05754_Gütersloh,62.1501,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05758_Herford,60.98035,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05762_Höxter,76.90916,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05766_Lippe,66.35295,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05770_Minden-Lübbecke,60.980774,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05774_Paderborn,72.20853,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,53.603725,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05911_Bochum,49.833675,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,56.008896,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05913_Dortmund,53.889866,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05914_05954_05913_05978_05962_Region_um_Hagen,65.66406,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05914_Hagen,61.598976,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05915_05978_05974_05570_05558_Region_um_Hamm,63.13568,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05915_Hamm,59.551888,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05916_05513_05562_05911_Region_um_Herne,52.498802,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05916_Herne,51.200615,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05954_Ennepe-Ruhr-Kreis,59.6777,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05958_Hochsauerlandkreis,98.43122,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05962_Märkischer Kreis,75.321175,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05966_Olpe,94.06556,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05970_Siegen-Wittgenstein,101.911026,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05974_Soest,72.16164,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,05978_Unna,58.236687,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06411_06432_06438_Region_um_Darmstadt,70.202705,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06411_Darmstadt,69.803535,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,76.3149,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06412_Frankfurt am Main,61.10914,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06413_06438_06435_06412_Region_um_Offenbach_am_Main,79.094124,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06413_Offenbach am Main,59.336876,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,70.68028,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06414_Wiesbaden,69.62679,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06431_Bergstraße,68.11569,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06432_Darmstadt-Dieburg,72.50334,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06433_Groß-Gerau,63.32881,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06434_Hochtaunuskreis,82.814735,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06435_Main-Kinzig-Kreis,86.20663,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,74.50132,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06436_Main-Taunus-Kreis,70.975555,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06437_Odenwaldkreis,83.296196,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,77.4802,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06438_Offenbach,65.894646,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06439_Rheingau-Taunus-Kreis,81.96593,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06440_Wetteraukreis,74.641365,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06531_Gießen,79.37376,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06532_Lahn-Dill-Kreis,94.884895,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06533_Limburg-Weilburg,82.49276,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06534_Marburg-Biedenkopf,90.617836,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06535_Vogelsbergkreis,95.81558,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06611_06633_03159_Region_um_Kassel,85.79374,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06611_Kassel,77.0344,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06631_Fulda,102.16898,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06632_Hersfeld-Rotenburg,90.956474,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06633_Kassel,85.13117,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06634_Schwalm-Eder-Kreis,87.18491,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06635_Waldeck-Frankenberg,95.55928,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,06636_Werra-Meißner-Kreis,91.74276,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07111_07137_07141_07143_Region_um_Koblenz,81.123726,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07111_Koblenz,60.28345,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07131_Ahrweiler,78.40693,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07132_Altenkirchen (Westerwald),78.69791,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07133_Bad Kreuznach,80.282104,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07134_Birkenfeld,95.009056,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07135_Cochem-Zell,76.23831,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07137_Mayen-Koblenz,73.9667,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07138_Neuwied,71.66854,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07140_Rhein-Hunsrück-Kreis,81.845215,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07141_Rhein-Lahn-Kreis,79.82681,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07143_Westerwaldkreis,90.34633,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07211_07235_Region_um_Trier,74.0026,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07211_Trier,66.75716,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07231_Bernkastel-Wittlich,76.54825,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,07232_Eifelkreis Bitburg-Prüm,88.48664,FD,year,days_with_air_temperature_below_threshold,days,7
